Date,Open,High,Low,Close,Volume
1984-09-07,0.0992653,0.100484,0.0980668,0.0992653,99149603
1984-09-10,0.0992653,0.0995698,0.0968786,0.098676,76956267
1984-09-11,0.0995698,0.102271,0.0995698,0.100484,181467446
1984-09-12,0.100484,0.101071,0.0974581,0.0974581,158527291
1984-09-13,0.10288,0.103173,0.10288,0.10288,246900394
1984-09-14,0.103173,0.10676,0.103173,0.104363,293981051
1984-09-17,0.107073,0.108567,0.107073,0.107073,229535149
1984-09-18,0.107073,0.107957,0.103173,0.103173,115874598
1984-09-19,0.103173,0.104363,0.101071,0.101071,126571111
1984-09-20,0.101368,0.102271,0.101368,0.101368,78796873
1984-09-21,0.101368,0.104363,0.0992653,0.100484,118888762
1984-09-24,0.100484,0.101071,0.0995698,0.0995698,94081449
1984-09-25,0.0992653,0.0992653,0.0974581,0.0974581,198619295
1984-09-26,0.0974581,0.101955,0.0962794,0.0962794,132146124
1984-09-27,0.0962794,0.0968786,0.0962794,0.0962794,126144312
1984-09-28,0.0962794,0.0962794,0.0920757,0.0938731,277949593
1984-10-01,0.0935884,0.0935884,0.0917714,0.0917714,116434743
1984-10-02,0.0923707,0.0956707,0.0923707,0.0923707,140815313
1984-10-03,0.0938731,0.0953661,0.0938731,0.0938731,143402813
1984-10-04,0.0950518,0.0956707,0.0950518,0.0950518,149431267
1984-10-05,0.0950518,0.0950518,0.0923707,0.0929793,116194699
1984-10-08,0.0929793,0.0935884,0.0929793,0.0929793,55936708
1984-10-09,0.0929793,0.0935884,0.0920757,0.0920757,149164503
1984-10-10,0.0920757,0.0920757,0.0893652,0.0893652,434476308
1984-10-11,0.0893652,0.0917714,0.0887757,0.0887757,217638288
1984-10-12,0.0887757,0.0893652,0.0842578,0.0848669,316521143
1984-10-15,0.0896599,0.0905634,0.0896599,0.0896599,289686439
1984-10-16,0.0896599,0.0899741,0.0893652,0.0893652,140548642
1984-10-17,0.0929793,0.0935884,0.0929793,0.0929793,186535701
1984-10-18,0.0956707,0.0962794,0.0956707,0.0956707,294327822
1984-10-19,0.0956707,0.102271,0.0953661,0.0956707,388355926
1984-10-22,0.0956707,0.0971633,0.0950518,0.0950518,136654147
1984-10-23,0.0971633,0.0980668,0.0971633,0.0971633,222012950
1984-10-24,0.0980668,0.0992653,0.0980668,0.0980668,198886043
1984-10-25,0.0980668,0.0980668,0.0944821,0.0944821,188349590
1984-10-26,0.0944821,0.0944821,0.0917714,0.0920757,136760798
1984-10-29,0.0923707,0.0929793,0.0923707,0.0923707,60311342
1984-10-30,0.0935884,0.0944821,0.0935884,0.0935884,88826521
1984-10-31,0.0935884,0.0944821,0.0929793,0.0929793,71728089
1984-11-01,0.0935884,0.0944821,0.0935884,0.0935884,56016700
1984-11-02,0.0935884,0.0938731,0.0923707,0.0929793,32969839
1984-11-05,0.0929793,0.0950518,0.0923707,0.0923707,125477462
1984-11-06,0.0980668,0.098676,0.0980668,0.0980668,268320092
1984-11-07,0.0980668,0.098676,0.0962794,0.0962794,275735616
1984-11-08,0.0962794,0.0962794,0.0923707,0.0923707,104937975
1984-11-09,0.0923707,0.0929793,0.0860848,0.0869883,350264567
1984-11-12,0.0899741,0.0905634,0.0899741,0.0899741,134866909
1984-11-13,0.0899741,0.0920757,0.087892,0.087892,150845046
1984-11-14,0.0887757,0.0896599,0.0887757,0.0887757,124250358
1984-11-15,0.0887757,0.0896599,0.0887757,0.0887757,126944516
1984-11-16,0.0887757,0.0899741,0.0863893,0.0869883,197392276
1984-11-19,0.0869883,0.0875876,0.0818714,0.0818714,277442768
1984-11-20,0.0845623,0.0848669,0.0845623,0.0845623,313480196
1984-11-21,0.0863893,0.0869883,0.0863893,0.0863893,212836831
1984-11-23,0.0875876,0.0899741,0.0875876,0.0887757,163248674
1984-11-26,0.0896599,0.0896599,0.0896599,0.0896599,119849135
1984-11-27,0.0920757,0.0929793,0.0920757,0.0920757,151725266
1984-11-28,0.0968786,0.0992653,0.0968786,0.0968786,488865946
1984-11-29,0.0968786,0.0968786,0.0950518,0.0950518,208248860
1984-11-30,0.0950518,0.0956707,0.0920757,0.0923707,129451993
1984-12-03,0.0923707,0.0929793,0.0911623,0.0911623,116701493
1984-12-04,0.0929793,0.0950518,0.0929793,0.0929793,143349441
1984-12-05,0.0974581,0.0974581,0.0974581,0.0974581,313080128
1984-12-06,0.102271,0.10288,0.102271,0.102271,377819471
1984-12-07,0.102271,0.106168,0.101368,0.101955,588895706
1984-12-10,0.101955,0.101955,0.0998857,0.0998857,132759604
1984-12-11,0.0998857,0.101368,0.098676,0.098676,147403973
1984-12-12,0.098676,0.098676,0.0953661,0.0953661,131079154
1984-12-13,0.0962794,0.0980668,0.0962794,0.0962794,79597063
1984-12-14,0.0962794,0.0995698,0.0962794,0.098676,114487516
1984-12-17,0.101071,0.101955,0.101071,0.101071,149137871
1984-12-18,0.107073,0.107367,0.107073,0.107073,405561002
1984-12-19,0.107073,0.107367,0.10288,0.10288,378086194
1984-12-20,0.10288,0.104656,0.102271,0.102271,166529701
1984-12-21,0.102271,0.10288,0.0998857,0.101071,147537356
1984-12-24,0.10288,0.103173,0.10288,0.10288,80424015
1984-12-26,0.103173,0.104363,0.103173,0.103173,79997239
1984-12-27,0.103772,0.104363,0.103772,0.103772,117608420
1984-12-28,0.103772,0.107957,0.103173,0.107367,196885416
1984-12-31,0.10887,0.109471,0.10887,0.10887,247407166
1985-01-02,0.10887,0.10887,0.104363,0.104363,208755580
1985-01-03,0.106168,0.10887,0.106168,0.106168,198405824
1985-01-04,0.106168,0.10676,0.104656,0.106168,163462083
1985-01-07,0.106168,0.10676,0.105571,0.105571,203527444
1985-01-08,0.105571,0.10676,0.104656,0.104656,168050097
1985-01-09,0.107367,0.10887,0.107367,0.107367,198539298
1985-01-10,0.112161,0.112464,0.112161,0.112161,329938490
1985-01-11,0.112161,0.113095,0.11007,0.111267,244179562
1985-01-14,0.114253,0.115449,0.114253,0.114253,322042718
1985-01-15,0.114253,0.116364,0.112161,0.112161,315534158
1985-01-16,0.113095,0.11488,0.113095,0.113095,226120824
1985-01-17,0.113095,0.11488,0.104962,0.104962,652007849
1985-01-18,0.104962,0.109471,0.104656,0.107073,419965361
1985-01-21,0.109471,0.11007,0.109471,0.109471,387528993
1985-01-22,0.112464,0.113095,0.112464,0.112464,505911027
1985-01-23,0.112464,0.113095,0.11066,0.11066,512659740
1985-01-24,0.11066,0.11066,0.108567,0.108567,472834398
1985-01-25,0.108567,0.11066,0.106168,0.11066,379233196
1985-01-28,0.113095,0.114253,0.113095,0.113095,490839786
1985-01-29,0.113095,0.113986,0.111846,0.111846,266426230
1985-01-30,0.111846,0.113986,0.111846,0.111846,586415048
1985-01-31,0.111846,0.112161,0.108567,0.108567,328951537
1985-02-01,0.108567,0.10887,0.106168,0.107073,164022300
1985-02-04,0.109471,0.109784,0.109471,0.109471,259624093
1985-02-05,0.11007,0.112161,0.11007,0.11007,226307526
1985-02-06,0.112161,0.112161,0.112161,0.112161,231535717
1985-02-07,0.112161,0.113665,0.111846,0.111846,292327233
1985-02-08,0.111846,0.112161,0.11007,0.111846,157220236
1985-02-11,0.113986,0.11488,0.113986,0.113986,413163269
1985-02-12,0.113986,0.114253,0.111267,0.111267,269733846
1985-02-13,0.111267,0.111267,0.106168,0.106168,627600608
1985-02-14,0.106168,0.107073,0.103173,0.103173,508284966
1985-02-15,0.103173,0.104962,0.102271,0.104656,206755019
1985-02-19,0.104363,0.104363,0.103173,0.103173,178426531
1985-02-20,0.103173,0.103772,0.098676,0.098676,261944851
1985-02-21,0.100484,0.101071,0.100484,0.100484,367042899
1985-02-22,0.100484,0.104363,0.100484,0.103173,269760494
1985-02-25,0.103173,0.103772,0.101955,0.101955,117341659
1985-02-26,0.101955,0.102271,0.0998857,0.0998857,225027119
1985-02-27,0.0998857,0.0998857,0.0938731,0.0938731,480596787
1985-02-28,0.0938731,0.0938731,0.0923707,0.0923707,379953392
1985-03-01,0.0923707,0.0929793,0.0896599,0.0929793,294647904
1985-03-04,0.0944821,0.0971633,0.0944821,0.0944821,182321082
1985-03-05,0.0968786,0.0968786,0.0968786,0.0968786,155726455
1985-03-06,0.0968786,0.0968786,0.0920757,0.0920757,230548763
1985-03-07,0.0920757,0.0923707,0.082775,0.082775,874047528
1985-03-08,0.082775,0.082775,0.0773731,0.0803885,563928255
1985-03-11,0.0830794,0.0836687,0.0830794,0.0830794,340581631
1985-03-12,0.0860848,0.0869883,0.0860848,0.0860848,261304640
1985-03-13,0.0860848,0.0860848,0.0812821,0.0812821,299049285
1985-03-14,0.0812821,0.0818714,0.0812821,0.0812821,287712512
1985-03-15,0.0812821,0.0863893,0.0806928,0.0845623,216037770
1985-03-18,0.0854757,0.0863893,0.0854757,0.0854757,148577678
1985-03-19,0.0854757,0.0863893,0.0821661,0.0821661,204167585
1985-03-20,0.0830794,0.0845623,0.0830794,0.0830794,482250615
1985-03-21,0.0845623,0.0860848,0.0845623,0.0845623,193471113
1985-03-22,0.0845623,0.0860848,0.0830794,0.0830794,95708598
1985-03-25,0.0830794,0.0830794,0.0806928,0.0806928,130945711
1985-03-26,0.0842578,0.0842578,0.0842578,0.0842578,144603179
1985-03-27,0.0842578,0.0848669,0.0818714,0.0818714,132599608
1985-03-28,0.0818714,0.0830794,0.0818714,0.0818714,154339377
1985-03-29,0.0818714,0.0830794,0.0818714,0.082775,103817619
1985-04-01,0.082775,0.0845623,0.0806928,0.0806928,135827224
1985-04-02,0.0806928,0.0812821,0.0785712,0.0785712,270827468
1985-04-03,0.0785712,0.078866,0.0785712,0.0785712,288966208
1985-04-04,0.0785712,0.078866,0.0770687,0.0779721,192750867
1985-04-08,0.0779721,0.0785712,0.0731795,0.0731795,236657299
1985-04-09,0.0731795,0.0737884,0.0731795,0.0731795,314253806
1985-04-10,0.0785712,0.0794751,0.0785712,0.0785712,270214002
1985-04-11,0.0800839,0.0821661,0.0800839,0.0800839,174665491
1985-04-12,0.0800839,0.0800839,0.0773731,0.0779721,86372427
1985-04-15,0.0800839,0.0806928,0.0800839,0.0800839,71247922
1985-04-16,0.0806928,0.0812821,0.0806928,0.0806928,80557427
1985-04-17,0.0845623,0.0854757,0.0845623,0.0845623,146763805
1985-04-18,0.0854757,0.0860848,0.0854757,0.0854757,241058596
1985-04-19,0.0854757,0.0854757,0.0836687,0.0842578,114354136
